,by,descendants,id,kids,score,time,title,type,url
0,zdw,83,40551725,"[40552517, 40552325, 40552821, 40552625, 40552695, 40552846, 40552038, 40552701, 40552363, 40552590, 40552456, 40552742, 40552597, 40552261, 40552497, 40552276, 40552057, 40552235, 40552236]",128,1717307868,Parable of the Sofa,story,https://www.tbray.org/ongoing/When/202x/2024/06/01/Parable-of-the-Sofa
1,sebtron,167,40535868,"[40552920, 40552647, 40549195, 40549255, 40550765, 40548392, 40551607, 40552696, 40550174, 40551986, 40549413, 40551482, 40548474, 40548518, 40549366, 40549303, 40551028, 40549801, 40551058, 40549203, 40549343, 40550992, 40552446, 40548759, 40552316, 40548482, 40549110, 40550212, 40549461, 40550898, 40550969, 40548886, 40549198, 40552365, 40549421, 40549235, 40548801, 40551091, 40550378, 40549519, 40551160, 40551109, 40548775, 40548373, 40548894, 40550872, 40548841, 40550537, 40549587, 40548650, 40550412, 40550828, 40550826, 40548596, 40550577]",576,1717166622,This Message Does Not Exist,story,https://www.kmjn.org/notes/message_existence.html
2,thunderbong,23,40551112,"[40551748, 40552787, 40552740, 40551682, 40552067, 40551506, 40551504]",60,1717298995,Unlocking the Duron and Athlon using the pencil (2007),story,http://computer-communication.blogspot.com/2007/06/unlocking-duron-and-athlon-using-pencil_08.html
3,lostin01010101,73,40551070,"[40551569, 40551297, 40552192, 40552273, 40551371, 40552551, 40552433, 40552076, 40551600, 40551519, 40552538, 40552524, 40551295, 40551278, 40551372, 40551231, 40551789, 40551481, 40551256, 40552573]",125,1717298222,How do our brains adapt to control an extra body part?,story,https://www.cam.ac.uk/stories/third-thumb
4,fellerts,45,40533139,"[40548377, 40549034, 40548536, 40549131, 40549468, 40551117, 40548503, 40548829, 40549171, 40548888, 40549133, 40549356, 40552018, 40548581, 40549262, 40551098, 40549632]",395,1717149439,Repairing my mug with Kintsugi,story,https://fellerts.no/projects/kintsugi.php
5,tosh,5,40552632,"[40552873, 40552844]",28,1717319200,PEP 730 – Adding iOS as a supported platform,story,https://peps.python.org/pep-0730/
6,adrianhoward,0,40552291,,11,1717315125,Pre-Work for Setting OKRs,story,https://eleganthack.com/pre-work-for-setting-okrs/
7,psj,18,40549250,"[40552750, 40552119, 40552473, 40552376, 40550023, 40550484, 40549920, 40549791]",139,1717277532,Lisp: Icing or Cake?,story,https://dthompson.us/posts/lisp-icing-or-cake.html
8,yeknoda,2,40550830,"[40552588, 40552452]",46,1717294809,Python notebooks for fundamentals of music processing,story,https://www.audiolabs-erlangen.de/resources/MIR/FMP/C0/C0.html
9,RicoElectrico,2,40526020,"[40552580, 40552748]",32,1717088608,Arduino FDX-B (animal ID chip) reader built from discrete components,story,https://github.com/decrazyo/fdxb
